row/col,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87
14,,,,,,,,,,,,,,,,,,,,,P03,P03,P02,P02,P02,P02,P02,P02,P02,P02,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P02,P02,P01,,,,,P01,P02,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P02,P02,P02,P02,P02,P01,P01,P01,P01,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,P02,P03,P02,P02,P02,P02,P02,P02,P02,P02,P02,P02,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P02,P02,P02,P01,,,P01,P02,P02,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P02,P02,P02,P02,P02,P02,P01,P01,P01,P01,P01,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,P03,P02,P02,P02,P02,P02,P02,P02,P02,P02,P02,P02,P02,P01,P01,P01,P04,P05,P04,P02,P01,P01,P01,P02,P02,P02,P01,,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P05,P03,P01,P02,P02,P02,P02,P01,P01,P01,P01,P01,P01,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,P03,P03,P02,P02,P02,P02,P02,P02,P02,P02,P02,P02,P02,P02,P02,P04,P15,P20,P22,P22,P22,P14,P05,P01,P01,P02,P02,P02,,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P01,P05,P03,P01,P10,P20,P07,P02,P15,P02,P15,P01,P01,P01,P02,P01,P01,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,P01,P03,P02,P02,P02,P02,P02,P02,P02,P02,P02,P02,P02,P03,P02,P05,P20,P22,P22,P22,P22,P22,P22,P22,P07,P01,P01,P02,P02,P01,P01,P01,P01,P01,P01,P01,P01,P01,P04,P03,P01,P04,P21,P20,P10,P04,P21,P22,P10,P14,P10,P21,P07,P07,P02,P02,P02,P01,P01,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,P03,P03,P02,P02,P01,P02,P02,P02,P02,P02,P02,P02,P03,P03,P04,P20,P22,P22,P22,P22,P22,P22,P22,P22,P22,P05,P01,P02,P03,P01,P01,P01,P01,P01,P01,P01,P01,P04,P03,P15,P07,P02,P08,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P21,P02,P02,P02,P01,P01,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,P03,P02,P02,P01,P01,P02,P02,P02,P02,P02,P03,P03,P03,P03,P20,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P20,P02,P01,P03,P02,P01,P01,P01,P01,P01,P01,P01,P21,P15,P14,P22,P15,P10,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P05,P01,P01,P01,P01,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,P02,P02,P01,P02,P01,P02,P02,P02,P02,P03,P03,P03,P03,P02,P15,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P07,P01,P03,P03,P01,P01,P01,P01,P05,P03,P10,P08,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P10,P01,P01,P01,P01,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,P02,P01,P02,P01,P01,P02,P02,P02,P03,P03,P03,P03,P02,P10,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P15,P01,P01,P01,P01,P01,P01,P02,P07,P15,P14,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P21,P03,P01,P01,P01,,,,,,,,,,,
23,,,,,,,,,,,,,,,,P01,P02,P01,P01,P01,P02,P02,P02,P02,P03,P03,P03,P02,P07,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P20,P01,P01,P01,P01,P01,P01,P07,P15,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P21,P02,P01,P01,P08,P11,,,,,,,,,
24,,,,,,,,,,,,,,,,P01,P01,P02,P01,P01,P02,P02,P02,P02,P03,P03,P02,P05,P21,P21,P21,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P20,P01,P01,P02,P01,P01,P01,P20,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P21,P14,P05,P07,P10,P22,P22,P22,P22,P08,P01,P11,P21,P15,P11,,,,,,,,
25,,,,,,,,,,,,,,,,P01,P01,P02,P02,P02,P02,P01,P02,P02,P02,P02,P04,P15,P14,P14,P08,P05,P08,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P15,P01,P01,P02,P01,P01,P01,P20,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P14,P05,P07,P07,P10,P10,P10,P10,P22,P22,P05,P01,P21,P20,P20,P14,,,,,,,,
26,,,,,,,,,,,,,,,,P01,P02,P02,P02,P02,P02,P01,P02,P02,P02,P04,P20,P22,P22,P22,P22,P22,P14,P07,P22,P22,P22,P22,P22,P22,P22,P22,P22,P15,P01,P01,P02,P01,P01,P01,P20,P20,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P15,P07,P10,P14,P22,P22,P22,P22,P21,P07,P05,P10,P01,P21,P22,P20,P14,,,,,,,,
27,,,,,,,,,,,,,,,P01,P01,P02,P02,P02,P02,P01,P01,P02,P02,P01,P07,P22,P21,P10,P10,P10,P10,P21,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P07,P01,P01,P02,,P01,P01,P15,P20,P22,P21,P14,P14,P22,P22,P22,P22,P22,P22,P10,P21,P22,P21,P11,P05,P11,P22,P22,P07,P22,P22,P04,P15,P20,P22,P11,,,,,,,,
28,,,,,,,,,,,,,,,P01,P02,P02,P02,P01,P02,P01,P01,P02,P01,P10,P07,P05,P10,P11,P04,P03,P08,P14,P10,P22,P22,P22,P22,P22,P10,P05,P08,P14,P05,P01,P01,P02,,P01,P01,P07,P15,P07,P07,P05,P07,P10,P22,P22,P22,P21,P14,P10,P22,P21,P19,P02,P02,P23,P22,P22,P22,P22,P22,P05,P14,P20,P22,P08,,,,,,,,
29,,,,,,,,,,,,,,,P01,P03,P03,P01,P01,P01,P01,P02,P02,P05,P22,P22,P10,P22,P22,P11,P02,P19,P19,P22,P10,P22,P22,P22,P20,P22,P22,P21,P10,P02,P01,P01,P01,,,P01,P05,P10,P10,P10,P14,P21,P21,P10,P10,P07,P14,P10,P10,P22,P21,P23,P14,P21,P22,P22,P22,P22,P22,P22,P10,P14,P20,P22,,,,,,,,,
30,,,,,,,,,,,,,,P01,P02,P03,P02,P01,P01,P01,P01,P02,P01,P15,P22,P22,P10,P22,P22,P22,P22,P22,P22,P22,P07,P10,P14,P20,P14,P10,P10,P14,P10,P01,P01,P01,P01,,,P01,P02,P07,P22,P22,P21,P11,P11,P21,P07,P20,P22,P22,P07,P14,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P15,P15,P22,P22,,,,,,,,,
31,,,,,,,,,,,,,,P01,P03,P03,P01,P01,P01,P01,P01,P01,P03,P20,P22,P22,P10,P22,P22,P22,P22,P22,P22,P07,P10,P21,P10,P05,P03,P03,P11,P14,P05,P01,P01,P01,P01,,,,P05,P05,P20,P14,P19,P03,P02,P19,P14,P10,P22,P22,P14,P05,P22,P22,P22,P22,P22,P22,P22,P10,P22,P22,P20,P22,P22,P14,,,,,,,,,
32,,,,,,,,,,,,,,P01,P03,P01,P01,P01,P01,P01,P01,P01,P05,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P07,P22,P22,P07,P10,P08,P05,P24,P10,P02,P02,P01,P01,P01,,,P05,P07,P05,P20,P21,P23,P21,P21,P22,P14,P07,P22,P22,P22,P10,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P20,P21,P21,,,,,,,,,,
33,,,,,,,,,,,,,,P01,P01,P01,P01,P01,P01,P01,P01,P01,P07,P22,P22,P22,P22,P22,P22,P22,P22,P22,P10,P22,P22,P22,P07,P21,P22,P22,P22,P14,P01,P02,P02,P02,P01,,,,P07,P10,P15,P22,P22,P22,P22,P22,P14,P15,P22,P22,P22,P22,P10,P22,P22,P22,P22,P10,P22,P22,P22,P22,P20,P07,,,,,,,,,,,
34,,,,,,,,,,,,,P01,P01,P02,P01,P01,P01,P01,P01,P01,P01,P07,P22,P22,P22,P22,P22,P22,P10,P10,P22,P22,P22,P22,P22,P15,P14,P22,P22,P22,P08,P01,P01,P01,P02,P02,,,,P04,P10,P10,P22,P22,P22,P22,P22,P10,P20,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P20,,,,,,,,,,,,
35,,,,,,,,,,,,,P01,P02,P02,P01,P01,P01,P02,P02,P01,P02,P10,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P10,P22,P22,P22,P04,P01,P01,P01,P02,P01,,,,,P05,P07,P22,P22,P22,P22,P21,P14,P20,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P20,,,,,,,,,,,,
36,,,,,,,,,,,,,P01,P02,P01,P01,P01,P01,P02,P02,P01,P02,P10,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P10,P10,P10,P04,P01,P01,P01,P01,P01,,,,,,P04,P15,P21,P21,P14,P14,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P20,,,,,,,,,,,,
37,,,,,,,,,,,,,P01,P02,P01,P01,P01,P01,P02,P02,P01,P02,P10,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P21,P01,P01,P01,P01,P03,P01,,,,,,,P10,P14,P21,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P15,,,,,,,,,,,,
38,,,,,,,,,,,,,,P02,P01,P01,P01,P01,P02,P02,P01,P02,P07,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P05,P01,P01,P01,P02,P03,,,,,,,,P07,P20,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P10,,,,,,,,,,,,
39,,,,,,,,,,,,,P01,P01,P01,P01,P01,P01,P02,P02,P01,P02,P05,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P14,P01,P01,P01,P02,P03,P03,,,,,,,,,P15,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P22,P20,P07,,,,,,,,,,,,
40,,,,,,,,,,,,,P01,P01,P01,P01,P01,P01,P02,P02,P02,P02,P03,P20,P22,P22,P22,P22,P22,P17,P17,P17,P20,P20,P22,P22,P22,P22,P21,P03,P01,P01,P01,P03,P03,P03,,,,,,,,,P07,P20,P22,P22,P22,P22,P22,P22,P22,P22,P20,P20,P17,P17,P22,P22,P22,P22,P22,P15,P15,,,,,,,,,,,,
41,,,,,,,,,,,,,P01,P01,P01,P01,P01,P01,P02,P02,P02,P02,P02,P07,P22,P22,P22,P22,P22,P22,P17,P17,P17,P17,P22,P22,P22,P21,P04,P01,P01,P01,P01,P03,P02,P02,,,,,,,,,,P10,P20,P22,P22,P22,P22,P22,P17,P17,P17,P17,P17,P22,P22,P22,P22,P22,P22,P15,P20,P07,,,,,,,,,,,
