row/col,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
23,,,,,,,,,,,,,,,,,,F11,F11,F10,F10,F10,G20,F13,F13,F13,F13,G20,F10,F10,F10,F11,F11,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,F11,F11,F10,F10,F10,F13,F13,F13,F13,F13,F13,F10,F10,F10,F11,F11,,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,,,F11,F11,F11,F10,G20,F13,F13,F13,F13,F13,F13,G20,F10,F11,F11,F11,,,,,,,,,,,,,,,,,
26,,,,,,,,,,,,,,,,,,,F11,F11,F10,F13,F13,F13,F13,F13,F13,F13,F13,F10,F11,F11,,,,,,,,,,,,,,,,,,
27,,,,,,,,,,,,,,,,,,,F11,F11,G20,F13,G20,F13,G20,G20,F13,G20,F13,G20,F10,F11,,,,,,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,F11,F10,F13,G20,G20,F13,G20,F10,F13,G20,G20,F13,G20,F10,,,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,,,,F10,G20,G20,F10,G20,F13,F10,F10,F13,F13,F10,G20,F13,F10,F11,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,F10,G20,G20,F10,F10,F13,G20,F10,F10,G20,F13,F10,F10,G20,G20,F10,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,F11,G20,G20,F10,F10,F10,F13,G20,F10,F10,G20,F13,G20,F10,F10,G20,G20,F11,,,,,,,,,,,,,,,,
32,,,,,,,,,,,,,,,,,G20,F23,F10,F10,F10,G20,F13,G20,F10,F10,G20,F13,G20,F10,F10,F10,F13,G20,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,G20,F23,F10,F10,F10,F10,G20,F13,F10,F10,F10,G20,F13,G20,F10,F11,F10,G20,F13,G20,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,F11,G20,G20,G20,F10,F10,F10,F10,G20,F13,F10,F10,F10,F10,G20,F23,F10,F11,F11,F10,G20,G20,G20,F11,,,,,,,,,,,,,
35,,,,,,,,,,,,,,G20,G20,G20,F10,F10,F11,F10,F10,F13,G20,F10,F10,F10,F10,G20,F13,F10,F10,F11,F10,F10,G20,G20,G20,,,,,,,,,,,,,
36,,,,,,,,,,,,,F11,G20,G20,F10,F10,F11,F11,F10,F10,F13,G20,F10,F10,F10,F10,G20,F13,G20,F10,F11,F11,F10,F10,G20,G20,F11,,,,,,,,,,,,
37,,,,,,,,,,,,,G20,G20,G20,F10,F10,F11,F11,F10,G20,F13,F10,F10,F10,F10,F10,G20,F13,G20,F10,F11,F11,F10,F10,G20,G20,G20,,,,,,,,,,,,
38,,,,,,,,,,,,,G20,G20,G20,F10,F11,F11,F11,F11,G20,F13,F10,F10,F10,F10,F11,G20,F13,G20,F10,,F11,F11,F10,G20,F13,G20,,,,,,,,,,,,
39,,,,,,,,,,,,,F23,G20,F10,F11,F11,,,F10,F13,F13,F10,F11,F10,F10,F11,G20,F13,F13,F10,,,F11,F11,F11,G20,G20,,,,,,,,,,,,
40,,,,,,,,,,,,,G20,F10,,,,,,G20,F23,G20,F10,F11,F11,F11,F10,F10,F13,F23,G20,,,,,,F10,G20,,,,,,,,,,,,
41,,,,,,,,,,,,,G20,F10,,,,,,F13,G20,G20,F10,F11,,,F10,F10,F23,F23,G20,,,,,,F10,G20,,,,,,,,,,,,
42,,,,,,,,,,,,,F10,F10,,,,,F10,G20,G20,G20,F10,F11,,,F11,F10,G20,G20,G20,F10,,,,,F10,F11,,,,,,,,,,,,
43,,,,,,,,,,,,,,F11,,,,,F11,G20,G20,G20,F10,F11,,,,G20,G20,G20,G20,F11,,,,,F11,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,,,,,G20,G20,G20,F11,,,,,F11,G20,G20,G20,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,G20,G20,F11,,,,,,,F11,G20,G20,,,,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,,,,,F10,G20,,,,,,,,,G20,F10,,,,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,,,,,,G20,,,,,,,,,G20,,,,,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
